id,kanji,sansho,jan_h,feb_h,may_h,apr_h,mar_h,jun_h,jul_h,aug_h,sep_h,oct_h,nov_h,dec_h,jan_l,feb_l,mar_l,apr_l,may_l,jun_l,jul_l,aug_l,sep_l,oct_l,nov_l,dec_l,lat,lng,country,province
47412,札幌,24,0.0,-1.0,6.1,13.0,18.3,21.1,25.7,25.0,23.1,17.7,9.6,1.4,-5.5,-7.6,-1.5,4.1,9.3,13.0,18.2,18.3,14.9,9.1,3.2,-4.0,43.05,141.32,japan,北海道地方
47636,名古屋,6,8.5,9.9,17.4,22.4,24.8,28.1,34.4,35.3,27.7,23.9,18.7,12.3,0.2,0.4,6.0,11.5,15.4,19.6,25.8,25.9,20.6,14.9,9.9,4.5,35.17,136.95,japan,中部地方
47662,東京,31,9.4,10.1,16.9,22.1,24.6,26.6,32.7,32.5,26.6,23.0,17.7,12.1,0.6,1.3,6.5,12.4,15.4,19.1,25.0,24.6,19.9,15.8,10.6,4.7,35.69,139.75,japan,関東地方
47765,広島,4,8.5,9.5,16.1,21.2,24.0,27.0,33.0,34.7,27.2,23.1,18.3,12.1,1.2,1.0,5.9,11.6,15.7,19.8,25.8,26.2,20.9,14.8,9.2,5.7,34.4,132.47,japan,中国・四国地方
47772,大阪,7,8.4,9.2,16.6,21.6,24.6,27.9,34.2,34.6,27.6,23.9,18.9,13.0,1.8,1.9,6.7,12.4,16.3,20.0,26.1,26.3,21.2,16.3,10.9,6.2,34.68,135.52,japan,関西地方
47807,福岡,11,9.0,10.1,16.9,21.9,25.3,27.6,32.6,34.5,28.5,22.9,19.0,13.1,2.8,2.7,7.7,13.0,16.9,20.4,25.7,27.0,22.1,15.7,10.5,7.3,33.57,130.37,japan,九州地方
47936,那覇,22,19.6,19.6,22.8,24.9,28.9,30.5,30.8,31.2,31.1,26.4,25.7,22.8,15.0,14.4,17.3,19.1,23.4,25.8,26.5,26.4,26.4,21.9,21.1,18.4,26.2,127.68,japan,沖縄地方
54511,北京,6,1.4,5.1,14.4,21.9,27.7,33.0,32.3,31.9,26.3,19.7,11.4,2.8,-7.1,-6.2,2.4,9.4,16.1,21.1,24.4,24.2,16.4,7.1,0.6,-7.1,39.93,116.28,china,北京市
58362,上海,8,7.2,9.5,17.2,22.7,26.4,29.1,32.9,32.4,29.1,22.4,18.1,11.2,1.7,1.4,7.7,12.6,18.6,21.8,26.5,26.9,23.2,15.0,11.0,5.6,31.42,121.45,china,上海市
59287,広州,5,18.9,19.8,25.2,26.3,32.6,31.7,33.3,32.8,32.4,28.0,25.2,20.3,10.1,10.6,15.6,18.3,23.9,24.7,25.2,25.2,23.9,18.7,17.2,13.0,23.22,113.48,china,广东省
59758,海口,28,20.2,20.0,26.5,29.3,33.7,32.4,32.3,31.5,31.2,29.4,27.2,23.1,15.8,15.1,19.5,21.5,25.1,25.7,25.9,25.3,24.9,23.4,22.3,18.6,20.0,110.25,china,海南省
47590,仙台,6,5.0,5.8,12.7,17.6,22.1,24.6,29.7,29.0,24.6,20.8,15.2,8.5,-2.2,-2.2,2.4,8.0,12.5,16.8,22.5,21.8,17.8,12.8,6.8,0.8,38.25,140.88,japan,東北地方
57516,重慶,3,10.1,13.2,21.4,26.7,28.5,30.8,36.3,36.1,26.9,20.0,16.2,11.4,6.0,7.6,13.8,17.0,20.0,23.3,27.7,26.2,21.9,16.2,11.6,8.3,29.58,106.47,china,重庆市
54161,長春,6,-10.8,-6.8,5.2,17.0,23.0,27.2,29.8,26.5,21.6,14.2,4.5,-5.8,-20.0,-17.6,-6.2,4.4,11.0,17.4,22.4,18.1,10.6,2.9,-6.0,-15.5,43.9,125.22,china,吉林省
53463,フフホト,6,-5.8,-0.3,13.5,18.4,24.3,29.1,28.4,28.5,18.8,12.9,4.9,-5.8,-16.9,-13.5,-1.0,4.0,10.1,15.1,17.8,17.3,7.8,0.6,-6.3,-16.5,40.85,111.57,china,内蒙古自治区
56187,成都,13,9.7,12.6,20.4,25.3,27.3,28.8,30.1,32.5,25.8,20.0,14.8,9.6,1.3,3.3,10.2,13.2,17.8,20.3,22.7,22.7,19.2,13.5,8.0,4.2,30.75,103.87,china,四川省
57494,武漢,2,6.3,11.7,19.0,24.5,27.9,31.4,34.8,34.4,29.7,23.8,17.3,8.4,-1.1,1.3,8.4,13.8,19.8,22.4,26.6,25.6,20.6,12.0,8.0,3.1,30.6,114.05,china,湖北省
57083,鄭州,3,4.6,11.2,18.1,24.0,28.1,33.7,34.2,33.1,27.6,23.3,15.4,6.7,-2.9,-0.7,6.6,11.9,18.1,23.0,26.1,25.1,17.8,11.8,5.5,-1.3,34.72,113.65,china,河南省
57687,長沙,8,6.5,12.6,19.2,24.4,28.8,30.4,34.7,33.2,28.9,22.3,16.4,8.2,1.4,4.3,10.2,14.9,20.5,22.7,25.8,24.7,21.4,14.5,9.6,4.2,28.23,112.87,china,湖南省
54342,瀋陽,21,-5.7,-1.6,9.3,18.5,24.6,28.4,31.5,29.8,23.9,16.8,8.1,-2.0,-18.5,-15.4,-3.8,6.0,11.7,17.6,22.6,20.5,10.9,2.1,-4.6,-13.1,41.73,123.52,china,辽宁省
58238,南京,3,5.7,9.4,17.8,23.6,26.3,30.6,33.7,32.9,28.7,22.7,16.4,9.0,-0.3,0.7,7.8,13.1,18.5,21.9,26.0,26.1,21.4,13.4,9.3,3.3,31.93,118.9,china,江苏省
56778,昆明,1,16.0,17.4,21.8,23.9,24.8,24.0,25.5,25.1,23.4,20.1,20.1,18.0,3.8,3.9,8.1,11.6,14.7,17.0,17.6,17.2,16.3,11.9,6.4,4.8,25.02,102.68,china,云南省
51463,ウルムチ,1,-12.2,-4.3,12.2,17.7,23.1,29.1,30.1,29.8,21.2,14.2,1.6,-8.1,-19.3,-12.2,3.2,7.0,10.6,18.2,20.3,19.4,10.7,5.0,-7.2,-15.8,43.78,87.65,china,新疆维吾尔自治区
55591,ラサ,3,11.7,12.0,12.6,16.2,19.8,24.5,23.0,22.4,22.5,16.9,13.8,6.9,-6.1,-2.2,-0.5,3.3,7.5,11.9,12.0,11.8,10.6,2.9,-2.1,-7.7,29.67,91.13,china,西藏自治区
58847,福州,16,14.9,15.5,22.1,26.3,31.3,30.4,33.8,33.6,31.7,25.3,21.4,18.0,9.4,8.1,12.7,16.9,22.0,23.2,25.8,25.7,24.2,18.1,16.3,12.0,26.08,119.28,china,福建省
52866,西寧,4,1.5,4.7,15.2,17.8,21.6,24.7,24.9,24.0,18.7,14.1,6.4,1.3,-14.0,-13.5,-3.2,1.2,6.3,10.8,12.9,14.0,8.4,0.3,-6.4,-12.1,36.62,101.77,china,青海省
53772,太原,2,1.6,6.7,18.0,22.9,27.2,30.3,30.5,30.4,22.9,18.1,11.5,2.4,-9.6,-8.7,2.1,8.1,12.7,16.0,20.8,20.1,11.4,3.3,-1.5,-9.7,37.62,112.58,china,山西省
54823,済南,2,3.1,8.3,17.2,23.2,27.1,32.9,33.8,32.1,26.4,21.3,14.3,5.4,-4.0,-1.4,6.8,12.7,17.7,22.5,25.4,24.2,18.1,10.9,6.0,-2.3,36.6,117.05,china,山东省
57816,貴陽,1,7.1,11.0,19.0,22.3,24.7,24.7,29.0,28.4,24.4,16.6,14.3,7.7,2.2,3.5,10.7,13.4,17.0,18.5,21.2,20.0,17.5,11.9,7.6,2.6,26.58,106.73,china,贵州省
58606,南昌,2,8.8,12.1,19.4,24.8,29.8,31.0,34.7,34.2,31.4,23.9,17.9,10.0,3.5,4.8,11.2,16.4,22.3,24.3,27.4,26.6,23.9,16.5,11.8,5.8,28.6,115.92,china,江西省
59431,南寧,2,17.0,17.9,24.4,26.8,32.0,32.1,32.1,32.7,31.6,26.3,23.9,17.1,10.9,11.6,16.5,18.8,23.9,24.7,24.9,25.0,23.7,19.0,16.3,11.9,22.63,108.22,china,广西壮族自治区
53614,銀川,4,-1.6,4.8,18.1,21.9,26.9,30.5,31.3,29.0,21.8,16.8,8.9,-1.4,-11.5,-9.5,2.9,7.6,12.2,17.4,20.1,19.7,11.4,3.1,-2.5,-11.6,38.47,106.2,china,宁夏回族自治区
opc12,天津,1,2.0,6.0,14.0,23.0,29.0,32.0,33.0,32.0,28.0,20.0,11.0,4.0,-5.0,-3.0,4.0,12.0,18.0,22.0,26.0,24.0,19.0,11.0,3.0,-3.0,39.14,117.21,china,天津市
opc61,西安,1,5.0,9.0,17.0,24.0,28.0,33.0,35.0,33.0,27.0,21.0,13.0,7.0,-3.0,0.0,6.0,11.0,17.0,22.0,25.0,23.0,18.0,12.0,4.0,-2.0,34.31,108.97,china,陕西省
opc33,杭州,1,9.0,11.0,17.0,24.0,28.0,30.0,35.0,35.0,29.0,24.0,18.0,11.0,2.0,4.0,8.0,14.0,19.0,23.0,27.0,27.0,22.0,16.0,10.0,4.0,30.23,120.24,china,浙江省
opc13,石家庄,1,3.0,7.0,16.0,24.0,30.0,33.0,33.0,32.0,27.0,21.0,11.0,6.0,-6.0,-3.0,5.0,12.0,18.0,22.0,25.0,23.0,18.0,11.0,2.0,-3.0,38.05,114.49,china,河北省
opc23,ハルビン,1,-14.0,-8.0,3.0,15.0,22.0,28.0,29.0,27.0,22.0,12.0,0.0,-11.0,-25.0,-20.0,-9.0,2.0,11.0,17.0,20.0,19.0,11.0,1.0,-9.0,-21.0,45.81,126.55,china,黑龙江省
opc34,合肥,1,8.0,10.0,17.0,23.0,28.0,31.0,34.0,33.0,29.0,23.0,16.0,10.0,0.0,2.0,7.0,13.0,19.0,23.0,27.0,26.0,21.0,14.0,8.0,1.0,31.8,117.23,china,安徽省
opc81,香港,1,19.0,19.0,25.0,28.0,32.0,32.0,33.0,33.0,32.0,29.0,26.0,22.0,15.0,14.0,19.0,22.0,27.0,28.0,28.0,27.0,27.0,22.0,22.0,17.0,22.3,114.17,china,香港
opc62,蘭州,1,3.0,7.0,16.0,22.0,26.0,30.0,31.0,30.0,24.0,19.0,11.0,4.0,-9.0,-5.0,3.0,8.0,12.0,17.0,19.0,18.0,13.0,7.0,-1.0,-7.0,36.05,103.85,china,甘肃省
